Offset,Name,Description
1000h,ER,Event Register
1004h,ERH,Event Register High
1008h,ECR,Event Clear Register
100Ch,ECRH,Event Clear Register High
1010h,ESR,Event Set Register
1014h,ESRH,Event Set Register High
1018h,CER,Chained Event Register
101Ch,CERH,Chained Event Register High
1020h,EER,Event Enable Register
1024h,EERH,Event Enable Register High
1028h,EECR,Event Enable Clear Register
102Ch,EECRH,Event Enable Clear Register High
1030h,EESR,Event Enable Set Register
1034h,EESRH,Event Enable Set Register High
1038h,SER,Secondary Event Register
103Ch,SERH,Secondary Event Register High
1040h,SECR,Secondary Event Clear Register
1044h,SECRH,Secondary Event Clear Register High
1050h,IER,Interrupt Enable Register
1054h,IERH,Interrupt Enable Register High
1058h,IECR,Interrupt Enable Clear Register
105Ch,IECRH,Interrupt Enable Clear Register High
1060h,IESR,Interrupt Enable Set Register
1064h,IESRH,Interrupt Enable Set Register High
1068h,IPR,Interrupt Pending Register
106Ch,IPRH,Interrupt Pending Register High
1070h,ICR,Interrupt Clear Register
1074h,ICRH,Interrupt Clear Register High
1078h,IEVAL,Interrupt Evaluate Register
1080h,QER,QDMA Event Register
1084h,QEER,QDMA Event Enable Register
1088h,QEECR,QDMA Event Enable Clear Register
108Ch,QEESR,QDMA Event Enable Set Register
1090h,QSER,QDMA Secondary Event Register
1094h,QSECR,QDMA Secondary Event Clear Register
